Party Name,Symbol,Address,Sort
Bharatiya Janata Party,Lotus,"7, Vahiniamman Street, T. Nagar, Chennai – 600017",BJP
Communist Party of India,Ears of Corn & Sickle,"19, Devaneya Sivagnanam Road, T. Nagar, Chennai – 600017",CPI
Communist Party of India (Marxist),"Hammer, Sickle & Star","11, Vithiam Street, T. Nagar, Chennai – 600017",CPIM
Desiya Murpokku Dravida Kazhagam,Nagara,"125/7, Jawaharlal Nehru Salai, Koyambedu, Chennai – 600107",DMDK
Dravida Munnetra Kazhagam,Rising Sun,"Anna Arivalayam, 268-269, Anna Salai, Teynampet, Chennai – 600018",DMK
Indian National Congress,Hand,"Sathyamurthy Bhavan, 40A, Thiru Vi. Ka. Salai, Chennai – 600002",INC
Naam Tamilar Katchi,Farmer Carrying Plough,"Door No.7, Plot No.8, Hospital Road, Senthil Nagar, Thirumullaivoyal, Chennai – 600062",NTK
National People’s Party,Book,"No.149, Justice Rathinavel Pandian Road, G.N. Nagar, Nerkundram, Chennai – 600107",NPP
Viduthalai Chiruthaigal Katchi,Pot,"No.16, Chinnaiya Street, Nungambakkam, Chennai – 600034",VCK
Aam Aadmi Party,Broom,"206, Rause Avenue, DDU Marg, New Delhi - 110 002",AAP
All India Anna Dravida Munnetra Kazhagam,Two Leaves,"275, Avvai Shanmugam Salai, Royapettah, Chennai - 600 014",AIADMK